cgid	median
cg11452329	0.259355831
cg12694372	0.517050055
cg27244972	0.613459133
cg25900280	0.482415528
cg00768487	0.264467886
cg03219968	0.49902096
cg23342718	0.463143017
cg00106345	0.277394915
cg02132714	0.437981875
cg21751684	0.331622919
cg01973676	0.543273412
cg00790098	0.165786156
cg10982364	0.380279922
cg17024828	0.451558856
cg05171197	0.308703213
cg18010718	0.771279455
cg00872984	0.535933538
cg06167221	0.535102712
cg24336989	0.174451458
cg27169860	0.379915767
cg06992285	0.289540286
cg22156700	0.303975983
cg22696167	0.258401602
cg05633523	0.485614992
cg13300273	0.352634344
cg20664636	0.360164345
cg19744936	0.556031258
cg20509869	0.235731722
cg18173726	0.755726261
cg08347500	0.506529319
cg10293403	0.175307914
cg07481320	0.359727204
cg25336332	0.44329051
cg16020346	0.369322155
cg08217163	0.441796177
cg25192855	0.510390811
cg21629500	0.348593082
cg25916282	0.351931339
cg26402417	0.736804983
cg27218796	0.678387978
cg26990102	0.285082077
cg17147211	0.064340553
cg10940462	0.220937463
cg16865446	0.343333958
cg03343571	0.321578112
cg00409917	0.065439577
cg03278514	0.809714487
cg24051554	0.384096054
cg01680010	0.091850874
cg25339054	0.328260397
cg22120063	0.374911394
cg08724310	0.383572816
cg08230483	0.347196973
cg05617980	0.628572884
cg02099572	0.338536188
cg14703002	0.172828106
cg22178798	0.59342131
cg00253735	0.270835899
cg12798157	0.403123573
cg24760581	0.116819857
cg06632214	0.104883115
cg22797514	0.552106063
cg26403151	0.878859561
cg23079012	0.845402391
cg16647921	0.166936724
cg18131141	0.410844159
cg03910065	0.120436902
cg18749015	0.515459356
cg10591771	0.24730287
cg07014673	0.178401697
cg08793877	0.112759024
cg04248271	0.233667382
cg20699586	0.647096552
cg15384598	0.0639444
cg04173586	0.298797454
cg17485838	0.411103194
cg08936645	0.55859413
cg18878210	0.467965475
cg05289920	0.720266527
cg25017223	0.392081296
cg25228422	0.109744799
cg24506221	0.369202173
cg10365886	0.75346083
cg23158189	0.52219584
cg26130488	0.393187768
cg16178603	0.055206511
cg00525277	0.561703484
cg03490289	0.832958807
cg26620530	0.20247447
cg02202923	0.592740551
cg06245037	0.450747192
cg18623980	0.633636911
cg03078269	0.237629037
cg23244790	0.33118947
cg13526469	0.426072992
cg12993715	0.501897425
cg23363971	0.174364333
cg17592360	0.339978769
cg12426196	0.408571532
cg16863795	0.209948385
cg11213574	0.140483381
cg25693302	0.329010902
cg18272353	0.468547309
cg25066665	0.488888775
cg23161999	0.376565777
cg07249433	0.78717922
cg00588920	0.193892066
cg11498607	0.41763861
cg18789918	0.31981873
cg17855264	0.183571775
cg21484586	0.177131959
cg05173913	0.205393407
cg23244913	0.393132384
cg12015737	0.728803791
cg20090283	0.336678796
cg11749010	0.423249758
cg21762788	0.345921541
cg00947782	0.17895206
cg22958090	0.773803904
cg03301582	0.22681037
cg20415053	0.349689773
cg23049458	0.292364981
cg10662314	0.173960703
cg05224126	0.69382529
cg12892506	0.210634613
cg01407254	0.723235088
cg23497383	0.237471166
cg26190890	0.257800397
cg03656099	0.582077844
cg13620034	0.154436108
cg07434271	0.303091503
cg26104083	0.36584607
cg25620901	0.720873164
cg21707187	0.148691921
cg02245004	0.236866375
cg01963754	0.627348943
cg23936031	0.362771695
cg24673771	0.148092553
cg21297493	0.538366738
cg21849932	0.394691666
cg21039708	0.172497288
cg09279736	0.442237223
cg22371492	0.31783329
cg26686732	0.215262149
cg14071179	0.472695493
cg16413687	0.484859195
cg27036341	0.835296761
cg14294859	0.383622648
cg03653399	0.732301956
cg22587479	0.133159677
cg14386951	0.110635779
cg09537620	0.086567798
cg24520538	0.318125698
cg12418535	0.257024618
cg07152216	0.309982934
cg02886375	0.770968438
cg05036212	0.439523747
cg07222505	0.381199364
cg23064609	0.389555814
cg03132824	0.717089205
cg13849454	0.136138366
cg14526718	0.215105553
cg25330243	0.249526131
cg01414185	0.776427426
cg06666008	0.226389399
cg15214183	0.300027491
cg13092405	0.519998023
cg13323489	0.303565719
cg14040131	0.615618028
cg17949969	0.205581461
cg16202331	0.471781711
cg09591072	0.093470617
cg11174855	0.209543838
cg14486338	0.256778669
cg16072192	0.34329645
cg26659805	0.351115586
cg13434411	0.304404462
cg16252110	0.645278205
cg21222178	0.761302854
cg15267232	0.381545838
cg23971170	0.670763972
cg26725201	0.477790473
cg09452082	0.678768763
cg08847856	0.689355308
cg27404023	0.251411362
cg08767686	0.644483039
cg00593773	0.590815436
cg14817655	0.267938966
cg13539545	0.282975051
cg23874373	0.784613946
cg24058604	0.271424029
cg07377422	0.441359365
cg17266282	0.299311982
cg22229906	0.296342696
cg26762347	0.200772502
cg06766860	0.615373598
cg08786077	0.178979492
cg10418626	0.605721546
cg06835156	0.632459464
cg19656282	0.16456201
cg04911005	0.261417121
cg23250574	0.400893426
cg16945186	0.53832826
cg07167423	0.377335279
cg24676071	0.582090733
cg03685886	0.560554054
cg18698788	0.176675984
cg27616227	0.262938276
cg17534029	0.394286761
cg09968723	0.1173497
cg10292584	0.508840243
cg08159989	0.462790523
cg22614239	0.532312151
cg24799921	0.060526433
cg26267430	0.810756739
cg06330323	0.803554057
cg20867963	0.202730425
cg10682299	0.276382181
cg02388378	0.374205244
cg15084543	0.406748326
cg10445315	0.203676014
cg21140898	0.419884075
cg12578486	0.415342427
cg12860686	0.196544149
cg19320820	0.283887429
cg18747742	0.463364455
cg26791879	0.697309615
cg06937717	0.132575733
cg19924619	0.454429637
cg02524983	0.347441118
cg01054755	0.172576566
cg23371746	0.631015439
cg19925204	0.42776548
cg26010734	0.509277453
cg13732582	0.203255898
cg12134633	0.532189078
cg11885357	0.482552697
cg22510376	0.09211669
cg08248516	0.685551824
cg17399362	0.343480048
cg02694427	0.242296138
cg27125849	0.347489204
cg09387749	0.680069406
cg15258447	0.174772834
cg26799656	0.936202995
cg22471075	0.271267677
cg24842260	0.269166663
cg09511741	0.65392924
cg14359824	0.31246367
cg19999682	0.529268881
cg02023345	0.098383292
cg11536474	0.139808657
cg17965712	0.338287629
cg03892356	0.46380876
cg05940691	0.361458067
cg17206850	0.201151171
cg18403361	0.565752846
cg02326806	0.768636749
cg00256329	0.843041778
cg12984729	0.189750635
cg01515515	0.431187669
cg25888386	0.257735468
cg01438365	0.616380731
cg13634242	0.098333841
cg22943986	0.303981351
cg11318054	0.06266947
cg08128087	0.604111125
cg08624648	0.662107677
cg20814095	0.14369686
cg22902266	0.236494879
cg09861917	0.193029621
cg02152120	0.084413411
cg01056242	0.720127245
cg10746936	0.343373232
cg06545268	0.41252035
cg02315271	0.440600382
cg05477457	0.386532678
cg05529816	0.206024499
cg11878331	0.40080562
cg08364561	0.165588074
cg11236727	0.524405164
cg02037307	0.716619048
cg03075709	0.175329004
cg05809668	0.125926838
cg26728517	0.432149056
cg01288184	0.42174049
cg23445461	0.458368186
cg26198107	0.629531611
cg11366849	0.603977109
cg05977002	0.495064096
cg03315407	0.471661838
cg25807487	0.607933501
cg20981848	0.201919997
cg26279021	0.588295542
cg26263234	0.281536485
cg24884703	0.111311237
cg27359566	0.507192459
cg17920646	0.614026353
cg17496661	0.741169171
cg16543094	0.11046451
cg18093372	0.395285893
cg06918474	0.129839769
cg03108070	0.358030433
cg21434530	0.29277256
cg20916523	0.659327129
cg16871561	0.615321753
cg04003871	0.501638996
cg05196969	0.118128989
cg24759337	0.11440124
cg25757115	0.231643763
cg21545862	0.449060063
cg15459780	0.126523983
cg04623837	0.302583072
cg18786593	0.360150959
cg24496841	0.223579299
cg14374754	0.199644148
cg00025439	0.614322469
cg16898193	0.247547494
cg02081006	0.755143641
cg19220719	0.51531642
cg18381051	0.283391653
cg16171281	0.33138343
cg13073773	0.406211431
cg06556702	0.212933187
cg26113809	0.530215558
cg27484412	0.366066407
cg21215550	0.404678354
cg14394550	0.778463426
cg19414598	0.209016821
cg25999637	0.664100135
cg23731272	0.692899859
cg18448949	0.296551412
cg07425646	0.375382144
cg10244976	0.630675603
cg24164564	0.261925896
cg27364741	0.512846074
cg23286646	0.114375147
cg22006640	0.400385319
cg14275842	0.074163757
cg24152976	0.328916324
cg21526750	0.2217089
cg17241776	0.216032929
cg11062778	0.426943549
cg23241448	0.130717532
cg13005202	0.643144948
cg02235249	0.519449193
cg07385694	0.526590267
cg01323777	0.539255174
cg07126525	0.11685228
cg08045906	0.564843015
cg12911732	0.084653658
cg24974704	0.730014658
cg10672567	0.541824524
cg09115646	0.872204354
cg23615741	0.313123419
cg16990168	0.71340814
cg01622006	0.412498243
cg12336777	0.421525202
cg04138112	0.150456569
cg07436694	0.401956367
cg22856324	0.53916453
cg00129563	0.3674679
cg15014975	0.380360054
cg22442454	0.050252737
cg11533881	0.246764064
cg21726372	0.331243954
cg12313892	0.74446399
cg26518861	0.280160589
cg24896649	0.186655226
cg04370314	0.161065349
cg11837293	0.474156463
cg24274579	0.579060183
cg23610041	0.389846363
cg05833351	0.624386891
cg17428559	0.526297746
cg02286091	0.459586149
cg04868078	0.188447321
cg21046148	0.714016575
cg04578774	0.128428411
cg04415798	0.456738543
cg08522426	0.173239141
cg25243455	0.37517576
cg19763461	0.382743557
cg16071219	0.314526898
cg14367020	0.177955064
cg15003570	0.657942791
cg17987112	0.501881069
cg22387369	0.068505632
cg19495969	0.723062852
cg05649108	0.106895356
cg00064255	0.25121897
cg07803375	0.525714518
cg20100745	0.563032352
cg07274716	0.603962926
cg02395846	0.549616743
cg00910015	0.566160138
cg24381412	0.105738313
cg06756211	0.196193498
cg10448808	0.181273742
cg14549524	0.72564846
cg25735305	0.423181304
cg04290346	0.089796565
cg05855917	0.346475153
cg06368184	0.303985207
cg01894498	0.203211211
cg16765600	0.919063819
cg07121856	0.151249682
cg00667789	0.441018659
cg01736164	0.633782193
cg25903779	0.114589641
cg07783843	0.619939889
cg22120095	0.427476631
cg14825735	0.346162661
cg16208084	0.594592336
cg02344527	0.366017596
cg25702335	0.434031168
cg07316846	0.542514392
cg10254035	0.622106062
cg03890691	0.260715915
cg18021902	0.421022397
cg00011225	0.107377422
cg10143811	0.306518681
cg07110405	0.236964511
cg00223767	0.402861853
cg06310816	0.294481519
cg07847030	0.39653394
cg08369368	0.112937123
cg17959970	0.300367397
cg04688351	0.280938521
cg04915566	0.723260035
cg09821185	0.592608041
cg26385172	0.427759635
cg01912586	0.094344804
cg15162392	0.195704486
cg25308508	0.446155934
cg15689991	0.438228972
cg15972264	0.707812444
cg23218354	0.518334856
cg04777726	0.303278289
cg24495585	0.136081953
cg02376703	0.047044535
cg22108292	0.78358854
cg26402660	0.577039406
cg02527886	0.928628061
cg18448746	0.317542099
cg18617005	0.136819486
cg03311684	0.262190861
cg01020413	0.515807719
cg18430555	0.286867356
cg17431280	0.151862478
cg23669081	0.765455379
cg19954537	0.338082768
cg26845390	0.854376225
cg23244022	0.381697329
cg06820621	0.568034045
cg19981568	0.27793001
cg15628917	0.374361189
cg07458308	0.338124302
cg23270529	0.703491813
cg26337312	0.364258671
cg23291280	0.63590953
cg18077971	0.427929938
cg22320365	0.217454421
cg04206484	0.744206999
cg22399133	0.179074181
cg10604476	0.20098549
cg22488797	0.52017512
cg07619683	0.791402099
cg12034118	0.116857247
cg19175386	0.629400013
cg27592331	0.307533828
cg07095230	0.435889436
cg20002901	0.312045007
cg01832036	0.171662311
cg13530938	0.196604273
cg03599978	0.066310041
cg25637894	0.266554253
cg21039380	0.445173389
cg20884887	0.385324958
cg20232986	0.393946439
cg03852144	0.296931311
cg22884656	0.327638481
cg16476975	0.099817826
cg05290058	0.418662459
cg13797425	0.469526641
cg11642891	0.844834662
cg19945931	0.534159024
cg10505610	0.585752726
cg05620980	0.627378951
cg10549986	0.279784252
cg05068848	0.433586586
cg14819504	0.208049076
cg21514164	0.508612771
cg20446334	0.662639976
cg08208480	0.535178308
cg20377305	0.281225924
cg02099878	0.126019537
cg11314598	0.843952049
cg10962762	0.587703624
cg19889626	0.353360846
cg10285466	0.54163904
cg03048372	0.866927928
cg20803293	0.481867674
cg16297011	0.621246362
cg19871940	0.151543664
cg02773086	0.531817343
cg13115683	0.163867866
cg26426745	0.147012516
cg05901765	0.527279833
cg17778888	0.772254706
cg09802835	0.532824198
cg11413133	0.324225689
cg15579587	0.455265551
cg21802055	0.167077745
cg06842954	0.33422615
cg15779837	0.235950599
cg25153741	0.663498098
cg27136844	0.505037032
cg00110654	0.200200068
cg13233461	0.092744522
cg02424365	0.407280761
cg10589443	0.139036951
cg24748548	0.903267622
cg17344516	0.340858709
cg24324815	0.368238892
cg25363445	0.545863947
cg24525457	0.266629558
cg01176363	0.351136755
cg10386298	0.617234995
cg07078958	0.456233729
cg05115862	0.701427437
cg04978078	0.301081302
cg05039004	0.049226051
cg25536739	0.367747454
cg00530492	0.224988924
cg03230711	0.447587733
cg14005211	0.404181564
cg13622450	0.365374027
cg04224064	0.205552801
cg07946277	0.281208266
cg11610925	0.721119387
cg02477603	0.430597364
cg24898738	0.444259848
cg08291024	0.473777871
cg14677130	0.634208109
cg17161250	0.131812147
cg09602288	0.380295516
cg04052466	0.316481034
cg06699564	0.412297599
cg15619820	0.675692555
cg01405040	0.283789176
cg22489321	0.356951551
cg15397593	0.568627186
cg20223392	0.639707951
cg00011616	0.590036484
cg14861089	0.13210557
cg02710296	0.634312258
cg13387113	0.27905264
cg06654901	0.364369245
cg03365751	0.3948
cg09580822	0.651419118
cg10754215	0.368690792
cg19611193	0.594878939
cg20293650	0.711279877
cg03020554	0.464719401
cg02933362	0.426243107
cg12406391	0.32599418
cg05589489	0.792662496
cg10598816	0.172034982
cg05345154	0.392927142
cg22979783	0.433767016
cg03140412	0.159270073
cg16768018	0.532921055
cg21001184	0.100334041
cg06809252	0.75485185
cg01090834	0.16772181
cg03475293	0.559341331
cg24157892	0.358200537
cg02360980	0.064639618
cg26889659	0.236891573
cg11528328	0.125976961
cg10919664	0.309731792
cg19537719	0.592954763
cg08076266	0.173526687
cg24467349	0.521775781
cg10581012	0.472054
cg01973456	0.561534667
cg05017994	0.815116792
cg09973284	0.271764276
cg23651812	0.539725944
cg17810609	0.264111814
cg04640920	0.645920955
cg26123605	0.33052696
cg18161327	0.642272757
cg18413131	0.11218753
cg10624122	0.579569944
cg24033224	0.732556636
cg26809635	0.148716752
cg10546219	0.300689112
cg02384857	0.747641804
cg06623935	0.229328847
cg08085232	0.486951726
cg12479878	0.429490706
cg21104965	0.400208567
cg15265085	0.577360265
cg16918905	0.429095615
cg10780890	0.164471313
cg22712983	0.715827113
cg27183188	0.13289093
cg05627029	0.082139506
cg03821443	0.775012502
cg21849844	0.36799195
cg03494648	0.753836823
cg00332937	0.522433757
cg06422471	0.536273991
cg19049964	0.440033701
cg10486069	0.563693508
cg26926612	0.256527831
cg08202754	0.601256261
cg08850461	0.205145484
cg00387964	0.612663719
cg02486855	0.687652085
cg25888561	0.344283736
cg18395917	0.439357199
cg00727777	0.743453542
cg26494929	0.14411728
cg15219228	0.098477861
cg04421271	0.287052567
cg23950233	0.465128734
cg13500072	0.239960377
cg01160692	0.436687961
cg09234616	0.207037579
cg19370653	0.248383217
cg23218559	0.314197254
cg06962177	0.16664354
cg14122138	0.364386926
cg16361302	0.354140011
cg12753366	0.928805355
cg15374435	0.637919436
cg06183338	0.370890136
cg23440636	0.48863643
cg05663278	0.665782646
cg00347757	0.293487997
cg02794451	0.465315999
cg08650890	0.521008646
cg00913949	0.223022377
cg23521140	0.198847947
cg26680317	0.839730704
cg24721899	0.360900784
cg06287775	0.607908304
cg14137381	0.403477206
cg10456990	0.245805244
cg17342973	0.181631786
cg04142864	0.348459588
cg25553466	0.27054944
cg11573566	0.573734928
cg08070771	0.419632802
cg01129004	0.198576748
cg03076855	0.271705574
cg21126229	0.711407244
cg12193833	0.532910752
cg10932018	0.052966811
cg09465698	0.368082617
cg16721321	0.669746015
cg22928386	0.479443747
cg19029181	0.494007199
cg07592963	0.210270732
cg05921905	0.341793951
cg21130113	0.648276153
cg07185131	0.209058563
cg25307665	0.31909934
cg14417498	0.296141246
cg24008884	0.370144676
cg02048922	0.437888855
cg17069396	0.172767847
cg10863922	0.840218463
cg12672205	0.061013885
cg22618405	0.619962867
cg15922174	0.186953357
cg12296772	0.130891517
cg22861116	0.336775733
cg13918754	0.106172763
cg24880701	0.14037801
cg04243827	0.421353281
cg02772121	0.710520551
cg25740565	0.438212266
cg17173816	0.706224996
cg16086130	0.317488802
cg16966315	0.11474443
cg16919569	0.660387671
cg24382823	0.524138367
cg17242351	0.241775678
cg23714773	0.912221889
cg21999471	0.410922994
cg03470180	0.07885561
cg22861340	0.186911046
cg16179938	0.737472281
cg17573292	0.463221136
cg21776417	0.318592308
cg17727929	0.183464624
cg11789612	0.066717882
cg11499091	0.772343376
cg08893839	0.404783421
cg24755163	0.250901833
cg17070988	0.415869123
cg06710082	0.343399331
cg12098750	0.31486493
cg13020870	0.213578268
cg01778345	0.607301171
cg18781988	0.34494794
cg08908855	0.627015059
cg21753226	0.432758682
cg03004860	0.837476594
cg05353869	0.369908076
cg13706058	0.279613624
cg23263937	0.444400558
cg14765933	0.452929943
cg17415265	0.375215887
cg16114141	0.394610298
cg00081799	0.738234448
cg18197594	0.411946858
cg00701951	0.486896033
cg03923561	0.114446948
cg02548132	0.34173574
cg21875802	0.654861224
cg08199953	0.548746208
cg18582260	0.739533677
cg08894487	0.276939701
cg05813818	0.454952788
cg08393041	0.306122287
cg03588998	0.615700829
cg05141014	0.784563786
cg08696165	0.334666679
cg12363903	0.843444928
cg26819695	0.559854886
cg09642408	0.372252897
cg10781408	0.085580632
cg15409097	0.579943345
cg26674943	0.145087497
cg01600222	0.358889834
cg19088635	0.526033055
cg15649852	0.267307175
cg25730564	0.372425681
cg01598421	0.699851365
cg08835113	0.309291707
cg19912142	0.354527846
cg27569446	0.069253662
cg16814808	0.347714991
cg24231558	0.788329651
cg17099445	0.769604728
cg13053505	0.201576157
cg19849728	0.454532881
cg19520927	0.260360816
cg18866599	0.155246343
cg02121529	0.57445104
cg02766845	0.095589288
cg11871960	0.388530415
cg16440978	0.525708138
cg23720064	0.229740901
cg19473656	0.385652744
cg10595547	0.473927887
cg14567963	0.566131759
cg00225902	0.44985388
cg16748008	0.389727342
cg24981593	0.33709474
cg09628195	0.228804025
cg01161204	0.548349312
cg16653620	0.329521584
cg02300584	0.415007443
cg09245302	0.661056076
cg27416863	0.669752542
cg17459215	0.855006576
cg01567173	0.842450565
cg12659883	0.556329624
cg13482308	0.102673304
cg20014398	0.322104226
cg27427514	0.149027291
cg14418633	0.373411792
cg24453580	0.048839251
cg15795787	0.369557905
cg20992181	0.598171609
cg01268824	0.213413192
cg09684846	0.870987561
cg08587775	0.154207356
cg19318393	0.396409101
cg01207684	0.471130005
cg21163347	0.43930609
cg18548797	0.751397021
cg21041775	0.428559923
cg24896021	0.761473534
cg03834767	0.506401655
cg08889797	0.486682282
cg06271067	0.564943399
cg02458237	0.155011287
cg23697546	0.330516669
cg17227257	0.446904537
cg09544728	0.882437085
cg22840361	0.81327139
cg07702693	0.884776933
cg22579265	0.128770732
cg25645064	0.325155468
cg09639151	0.425234489
cg04481096	0.557432984
cg06360976	0.821292466
cg01696784	0.743157401
cg09469667	0.30479056
cg20464155	0.38933433
cg02676167	0.479356236
cg02381898	0.191714466
cg23171972	0.66392084
cg14904662	0.325000091
cg25947619	0.075944142
cg04025964	0.226522567
cg14714222	0.594690468
cg25830182	0.296439808
cg04850731	0.657137946
cg26958524	0.394041276
cg06145336	0.539901037
cg22477343	0.335352941
cg27406975	0.078726954
cg07065220	0.16598326
cg16642791	0.197805018
cg06139006	0.449249611
cg08512490	0.176114783
cg14872952	0.324025963
cg06430465	0.856663658
